分类,歌曲,难度,分支,体力,手速,爆发,节奏,复合,主定数
09 Namco Original,ダーク?エクス?マキナ?,魔王,达人,15.00 ,15.50 ,15.22 ,12.98 ,14.64 ,15.50 
09 Namco Original,第六天魔王,魔王(里),,15.50 ,15.50 ,14.50 ,12.93 ,15.22 ,15.46 
09 Namco Original,Infinite Rebellion,魔王,,15.50 ,15.47 ,14.50 ,12.55 ,14.74 ,15.43 
09 Namco Original,第六天魔王,魔王,,15.06 ,15.21 ,14.50 ,14.31 ,15.18 ,15.36 
09 Namco Original,CRUXNAUT,魔王,,14.94 ,15.50 ,14.54 ,9.30 ,14.90 ,15.32 
09 Namco Original,幽玄ノ乱,魔王,,15.46 ,15.50 ,14.50 ,7.19 ,14.96 ,15.31 
09 Namco Original,憎悪と醜悪の花束,魔王(里),,15.23 ,15.50 ,14.98 ,12.80 ,14.19 ,15.27 
09 Namco Original,23時54分、陽の旅路へのプレリュード,魔王(里),,15.24 ,15.50 ,14.51 ,11.89 ,14.09 ,15.18 
09 Namco Original,ダーク?エクス?マキナ?,魔王,普通,14.48 ,15.50 ,15.23 ,12.88 ,14.14 ,15.17 
09 Namco Original,ダーク?エクス?マキナ?,魔王,玄人,14.48 ,15.50 ,15.23 ,12.88 ,14.14 ,15.17 
09 Namco Original,vs.VIGVANGS,魔王(里),,15.29 ,14.50 ,14.81 ,14.29 ,15.26 ,15.11 
09 Namco Original,Extreme End,魔王(里),,14.66 ,15.02 ,14.50 ,11.12 ,15.19 ,15.09 
09 Namco Original,アンリミテッドゲームズ,魔王(里),,14.99 ,14.82 ,14.62 ,11.42 ,15.34 ,15.07 
09 Namco Original,Emma,魔王(里),达人,13.81 ,15.50 ,14.90 ,12.25 ,14.47 ,14.99 
09 Namco Original,poxei?DOON,魔王,,13.89 ,15.00 ,14.60 ,14.04 ,15.05 ,14.98 
09 Namco Original,神竜 ～Shinryu～,魔王(里),,15.16 ,14.46 ,14.50 ,13.62 ,15.30 ,14.98 
09 Namco Original,狂瀾怒濤,魔王(里),,14.86 ,14.37 ,14.50 ,14.34 ,15.11 ,14.90 
09 Namco Original,ダンガンノーツ,魔王(里),,15.02 ,14.34 ,15.50 ,12.33 ,14.50 ,14.83 
